ID	| NAMA	| HARGA/1000	| MIN	| MAX	| KATEGORI
438	| TikTok Followers | Max 1M - Refill 30 Days - HQ - INSTANT ♻️	| Rp 39436.00	| 50	| 1000000	| TikTok Followers | Refill Guaranteed
47	| TikTok Followers | Max 10M - Refill 30 Days - HQ ♻️	| Rp 65576.00	| 10	| 400000	| TikTok Followers | Refill Guaranteed
750	| TikTok Followers | Max 1M - Refill 30 Days - HQ Accounts - INSTANT ♻️⚡️🚀	| Rp 50564.00	| 10	| 1000000	| TikTok Followers | Refill Guaranteed
10	| TikTok Followers | Max 100K - Refill Auto 30 Days 💧♻️	| Rp 61447.00	| 10	| 100000	| TikTok Followers | Refill Guaranteed
943	| TikTok Followers | Max 100K - Refill 30 Days - HQ Account - LOW DROP 10-30% ♻️ 🚀	| Rp 81719.00	| 10	| 100000	| TikTok Followers | Refill Guaranteed
656	| TikTok Followers | Max 100K - Refill 30 Days - HQ ♻️	| Rp 98944.00	| 100	| 100000	| TikTok Followers | Refill Guaranteed
942	| TikTok Followers | Max 50K - Refill 30 Days - HQ Account - LOW DROP 5-20% ♻️ 🚀	| Rp 132793.00	| 10	| 50000	| TikTok Followers | Refill Guaranteed
48	| TikTok Followers | From Verifed Account - Max 100	| Rp 61288920.00	| 1	| 100	| TikTok Followers | Verifed Account
550	| TikTok Likes | Max 1M - No Refill - Low Quality ⚠️	| Rp 246.00	| 10	| 1000000	| TikTok Likes | No Refill
823	| TikTok Likes | Max 1M - No Refill ⚡	| Rp 307.00	| 10	| 5000000	| TikTok Likes | No Refill
439	| TikTok Likes | Max 5M - No Refill - FAST ⛔️⚡️	| Rp 348.00	| 10	| 5000000	| TikTok Likes | No Refill
8	| TikTok Likes | Max 150K - No Refill	| Rp 497.00	| 10	| 1000000	| TikTok Likes | No Refill
6	| TikTok Likes | Max 20K - No Refill	| Rp 1277.00	| 100	| 20000	| TikTok Likes | No Refill
897	| TikTok Likes | Max 1M - No Refill - Low Drop - INSTANT 🚀	| Rp 1471.00	| 10	| 3000000	| TikTok Likes | No Refill
883	| TikTok Likes | Max 1M - No Refill - High Quality - Low Drop ⚠️ 🚀	| Rp 1635.00	| 10	| 1000000	| TikTok Likes | No Refill
569	| TikTok Likes | Max 1M - No Refill - Bonus Views - FAST ⚡🚀	| Rp 1921.00	| 10	| 1000000	| TikTok Likes | No Refill
7	| TikTok Likes | Max 100K - No Refill - Bonus Views + Saves ⚡	| Rp 2759.00	| 10	| 100000	| TikTok Likes | No Refill
437	| TikTok Likes | Max 100K - No Refill - Slow💧⛔️	| Rp 3860.00	| 10	| 2000000	| TikTok Likes | No Refill
767	| TikTok Likes | Max 1M - Refill 30 Days ♻️💧⛔️ 🚀	| Rp 266.00	| 10	| 5000000	| TikTok Likes | Refill Guaranteed
611	| TikTok Likes | Max 100M - Refill 30 Days - FAST ♻️💧	| Rp 368.00	| 10	| 5000000	| TikTok Likes | Refill Guaranteed
824	| TikTok Likes | Max 1M - Refill 30 Days ♻️⚡	| Rp 409.00	| 10	| 5000000	| TikTok Likes | Refill Guaranteed
783	| TikTok Likes | Max 20M - Refill 30 Days - Real Users ♻️ 🚀	| Rp 1063.00	| 10	| 20000000	| TikTok Likes | Refill Guaranteed
884	| TikTok Likes | Max 1M - Refill 30 Days - High Quality - Low Drop ♻️ 🚀	| Rp 1839.00	| 10	| 1000000	| TikTok Likes | Refill Guaranteed
572	| TikTok Likes | Max 500K - Refill 30 Days ♻️💧⛔️	| Rp 2525.00	| 10	| 1000000	| TikTok Likes | Refill Guaranteed
5	| TikTok Likes | Max 100K - Refill 30 Days ♻️💧⛔️	| Rp 7199.00	| 10	| 100000	| TikTok Likes | Refill Guaranteed
563	| TikTok Likes | Max 100K - Refill 30 Days - Real Users ♻️💧	| Rp 12258.00	| 10	| 100000	| TikTok Likes | Refill Guaranteed
864	| TikTok Views | Max Unlimited - Auto Refill 15 Days ♻️	| Rp 1296.00	| 10000	| 100000000	| TikTok Video Views | Refill Guaranteed
865	| TikTok Views | Max Unlimited - Auto Refill 30 Days ♻️	| Rp 1064.00	| 10000	| 100000000	| TikTok Video Views | Refill Guaranteed
704	| TikTok Views | Max Unlimited - Refill 30 Days - No Drop	| Rp 1208.00	| 100	| 2147483647	| TikTok Video Views | NO DROP
706	| TikTok Views | Max Unlimited - Refill Lifetime - No Drop	| Rp 20430.00	| 100	| 2147483647	| TikTok Video Views | NO DROP
746	| TikTok Views | Max Unlimited - No Refill - No Drop	| Rp 1358.00	| 100	| 2147483647	| TikTok Video Views | NO DROP
747	| TikTok Views | Max Unlimited - Refill Lifetime - No Drop ♻️	| Rp 1296.00	| 100	| 10000000	| TikTok Video Views | NO DROP
961	| TikTok Views | Max 500M	| Rp 600.00	| 100	| 2147483647	| TikTok Video Views
115	| TikTok Views | Max Unlimited - FAST - EMERGENCY - WORKING	| Rp 864.00	| 100	| 2147483647	| TikTok Video Views
444	| TikTok Views | Max 200M 🚀	| Rp 1131.00	| 100	| 2147483647	| TikTok Video Views
3	| TikTok Views | Max 1M - INSTANT	| Rp 1142.00	| 100	| 10000000	| TikTok Video Views
586	| TikTok Views | Max 100M - INSTANT	| Rp 1440.00	| 500	| 2147483647	| TikTok Video Views
440	| TikTok Views | Max Unlimited - FASTEST	| Rp 1769.00	| 100	| 2147483647	| TikTok Video Views
621	| TikTok Views | Max Unlimited - Cheap Services	| Rp 2564.00	| 100	| 2147483647	| TikTok Video Views
690	| Tiktok Views | Retention Views Up To 60% - Best For SEO - Video Max Duration 30 Second	| Rp 7592.00	| 1000	| 100000	| TikTok Video Views | SEO | Watchtime
691	| Tiktok Views | Retention Views Up To 60% - Best For SEO - Video Max Duration 60 Second	| Rp 9490.00	| 1000	| 100000	| TikTok Video Views | SEO | Watchtime
692	| Tiktok Views | Retention Views Up To 60% - Best For SEO - Video Max Duration 90 Second	| Rp 11388.00	| 1000	| 100000	| TikTok Video Views | SEO | Watchtime
693	| Tiktok Views | Retention Views Up To 60% - Best For SEO - Video Max Duration 120 Second	| Rp 13286.00	| 1000	| 100000	| TikTok Video Views | SEO | Watchtime
694	| Tiktok Views | Retention Views Up To 60% - Best For SEO - Video Max Duration 150 Second	| Rp 15184.00	| 1000	| 100000	| TikTok Video Views | SEO | Watchtime
695	| Tiktok Views | Retention Views Up To 60% - Best For SEO - Video Max Duration 180 Second	| Rp 17082.00	| 1000	| 100000	| TikTok Video Views | SEO | Watchtime
294	| TikTok Views + %30 Likes + Impressions | Max 1M	| Rp 1851.00	| 100	| 2147483647	| TikTok Video Views + Likes + Shares + Saves
295	| TikTok Views + %40 Likes + Impressions | Max 1M	| Rp 20416.00	| 5	| 100000	| TikTok Video Views + Likes + Shares + Saves
296	| TikTok Views + %50 Likes + Impressions | Max 1M	| Rp 21452.00	| 10	| 100000	| TikTok Video Views + Likes + Shares + Saves
297	| Tiktok Views 100% + 10% HQ Likes | Max 100K	| Rp 818.00	| 200	| 100000	| TikTok Video Views + Likes + Shares + Saves
298	| Tiktok Views 100% + 20% HQ Likes | Max 100K	| Rp 1226.00	| 200	| 100000	| TikTok Video Views + Likes + Shares + Saves
299	| Tiktok Views 100% + 30% HQ Likes | Max 100K	| Rp 1635.00	| 200	| 100000	| TikTok Video Views + Likes + Shares + Saves
300	| Tiktok Views 100% + 40% HQ Likes | Max 100K	| Rp 2043.00	| 200	| 100000	| TikTok Video Views + Likes + Shares + Saves
301	| Tiktok Views 100% + 50% HQ Likes | Max 100K	| Rp 2452.00	| 200	| 100000	| TikTok Video Views + Likes + Shares + Saves
302	| Tiktok Views 100% + 100% HQ Likes| Max 100K	| Rp 4699.00	| 200	| 100000	| TikTok Video Views + Likes + Shares + Saves
786	| TikTok Video Comments | EMOJI - Max 10K - INSTANT 🚀	| Rp 13280.00	| 10	| 10000	| TikTok Video Comments
38	| TikTok Video Comments | CUSTOM - Max 100K - INSTANT	| Rp 14301.00	| 1	| 5000	| TikTok Video Comments
37	| TikTok Video Comments | RANDOM - Max 100K - INSTANT	| Rp 16344.00	| 10	| 10000	| TikTok Video Comments
39	| TikTok Video Comments | EMOJI - Max 100K - INSTANT	| Rp 26559.00	| 1	| 100000	| TikTok Video Comments
35	| TikTok Video Comments | CUSTOM - Max 1K	| Rp 122578.00	| 5	| 1000	| TikTok Video Comments
36	| TikTok Video Comments | CUSTOM - Max 150K	| Rp 195104.00	| 10	| 160000	| TikTok Video Comments
899	| TikTok Video Comment Likes | Max 1M - INSTANT	| Rp 3065.00	| 10	| 1000000	| TikTok Video Comments Likes
710	| TikTok Verified Comments | 1 Comment Emoji Random With Verified Account ✅	| Rp 2767.00	| 1	| 1	| TikTok Video Comments | From Verified Account
711	| TikTok Verified Comments | 2 Comment Emoji Random With Verified Account ✅	| Rp 11705.00	| 1	| 1	| TikTok Video Comments | From Verified Account
712	| TikTok Verified Comments | 3 Comment Emoji Random With Verified Account ✅	| Rp 13833.00	| 1	| 1	| TikTok Video Comments | From Verified Account
713	| TikTok Verified Comments | 4 Comment Emoji Random With Verified Account ✅	| Rp 42349.00	| 1	| 1	| TikTok Video Comments | From Verified Account
714	| TikTok Verified Comments | 5 Comment Emoji Random With Verified Account ✅	| Rp 50862.00	| 1	| 1	| TikTok Video Comments | From Verified Account
785	| TikTok Video Saves | Max 100M - Refill 30 Days 🔥♻️	| Rp 76.00	| 100	| 2147483647	| TikTok Video Saves/Favorite
636	| TikTok Video Saves | Max 100M - Refill 30 Days 🔥♻️🚀	| Rp 184.00	| 10	| 2147483647	| TikTok Video Saves/Favorite
11	| TikTok Video Saves | Max 100K - Refill 30 Days 🔥	| Rp 2057.00	| 10	| 100000	| TikTok Video Saves/Favorite
900	| TikTok Video Reposts | Max 500K - HQ Accounts - Refill No 🚀	| Rp 12054.00	| 1	| 500000	| TikTok Video Repost
609	| TikTok Video Shares | Max 10M - INSTANT	| Rp 246.00	| 10	| 2147483647	| TikTok Video Shares
898	| TikTok Video Shares | Max 10M - FAST 💧⛔	| Rp 767.00	| 10	| 10000000	| TikTok Video Shares
